Algorithm,Hari,Jam,Menit,Durasi_Menit,Jam_Mulai,Jam_Selesai,Prodi,Kode_MK,Nama_MK,Jenis,Ruang,Dosen,SKS,Kewajiban,Prioritas,Fitness,Heavy_Total,Light_Total,Feasible
COA,Fri,15,50,50,15:50,16:40,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F11.3,72,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Tue,7,50,50,07:50,08:40,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F4.7,72,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Thu,7,25,50,07:25,08:15,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,G1.5,72,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Tue,13,45,50,13:45,14:35,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.8,102,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Mon,15,35,50,15:35,16:25,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.8,102,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Mon,12,30,50,12:30,13:20,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,G1.4,102,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Fri,15,5,50,15:05,15:55,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.17,75,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Wed,9,40,50,09:40,10:30,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F2.1,75,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Tue,12,55,50,12:55,13:45,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,G1.7,75,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Fri,13,10,50,13:10,14:00,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.14,91,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Fri,7,55,50,07:55,08:45,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.8,91,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Thu,14,0,50,14:00,14:50,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,G1.8,91,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Tue,16,5,50,16:05,16:55,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.7,102,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Thu,13,25,50,13:25,14:15,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.6,102,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Fri,7,10,50,07:10,08:00,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.5,102,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Fri,15,55,50,15:55,16:45,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.5,102,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Wed,12,50,50,12:50,13:40,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F2.6,102,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Wed,7,0,50,07:00,07:50,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F11.4,102,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Tue,9,5,50,09:05,09:55,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.3,75,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Thu,10,0,50,10:00,10:50,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.6,75,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Tue,14,50,50,14:50,15:40,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.8,75,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Tue,7,30,50,07:30,08:20,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.9,91,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Mon,10,5,50,10:05,10:55,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.12,91,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Wed,8,0,50,08:00,08:50,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F2.6,91,3,0,1,7.847919869598963e-07,1273,1222,False
COA,Mon,15,20,50,15:20,16:10,Teknologi Informasi,COM60011,Arsitektur dan Organisasi Komputer,lecture,F3.18,103,2,1,2,7.847919869598963e-07,1273,1222,False
COA,Wed,12,20,50,12:20,13:10,Teknologi Informasi,COM60011,Arsitektur dan Organisasi Komputer,lecture,F3.16,103,2,1,2,7.847919869598963e-07,1273,1222,False
COA,Fri,14,15,50,14:15,15:05,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F11.1,4,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Fri,7,45,50,07:45,08:35,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F4.11,4,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Mon,14,25,50,14:25,15:15,Pendidikan Teknologi Informasi,CIE61208,Basis Data,practicum,G1.2,4,3,1,1,7.847919869598963e-07,1273,1222,False
COA,Fri,9,40,50,09:40,10:30,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F11.1,60,3,1,1,7.847919869598963e-07,1273,1222,False
