Algorithm,Hari,Jam,Menit,Durasi_Menit,Jam_Mulai,Jam_Selesai,Prodi,Kode_MK,Kelas,Nama_MK,Jenis,Ruang,Gedung,Lantai,Tipe_Ruang,Dosen,Dosen_Asli,Is_Substitusi,SKS,Kewajiban,Prioritas,Fitness,Heavy_Total,Light_Total,Feasible
COA,Fri,7,55,50,07:55,08:45,Sistem Informasi,CSD60706,A,Administrasi Basis Data,lecture,F4.11,F,4,Kelas,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Thu,12,25,50,12:25,13:15,Sistem Informasi,CSD60706,A,Administrasi Basis Data,lecture,F3.9,F,3,Kelas,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Tue,15,40,50,15:40,16:30,Sistem Informasi,CSD60706,A,Administrasi Basis Data,practicum,G1.4,G,1,Lab,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Wed,8,0,50,08:00,08:50,Sistem Informasi,CSD60706,B,Administrasi Basis Data,lecture,F2.9,F,2,Kelas,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Wed,9,10,50,09:10,10:00,Sistem Informasi,CSD60706,B,Administrasi Basis Data,lecture,F3.7a,F,3,Kelas,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Tue,9,45,50,09:45,10:35,Sistem Informasi,CSD60706,B,Administrasi Basis Data,practicum,G1.2,G,1,Lab,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Wed,16,35,50,16:35,17:25,Sistem Informasi,CSD60706,C,Administrasi Basis Data,lecture,F2.1,F,2,Kelas,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Mon,15,55,50,15:55,16:45,Sistem Informasi,CSD60706,C,Administrasi Basis Data,lecture,F3.3,F,3,Kelas,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Tue,17,10,50,17:10,18:00,Sistem Informasi,CSD60706,C,Administrasi Basis Data,practicum,G1.5,G,1,Lab,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Mon,12,35,50,12:35,13:25,Sistem Informasi,CSD60706,D,Administrasi Basis Data,lecture,F4.7,F,4,Kelas,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Wed,14,0,50,14:00,14:50,Sistem Informasi,CSD60706,D,Administrasi Basis Data,lecture,F3.5b,F,3,Kelas,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Tue,8,30,50,08:30,09:20,Sistem Informasi,CSD60706,D,Administrasi Basis Data,practicum,G1.4,G,1,Lab,72,72,False,3,1,1,4.627093297007566e-07,2160,1183,False
COA,Wed,13,20,50,13:20,14:10,Teknologi Informasi,CSD60706,A,Administrasi Basis Data,lecture,F3.4,F,3,Kelas,102,102,False,3,0,1,4.627093297007566e-07,2160,1183,False
COA,Fri,13,10,50,13:10,14:00,Teknologi Informasi,CSD60706,A,Administrasi Basis Data,lecture,F3.12,F,3,Kelas,102,102,False,3,0,1,4.627093297007566e-07,2160,1183,False
COA,Thu,13,55,50,13:55,14:45,Teknologi Informasi,CSD60706,A,Administrasi Basis Data,lecture,F3.7b,F,3,Kelas,102,102,False,3,0,1,4.627093297007566e-07,2160,1183,False
COA,Thu,16,30,50,16:30,17:20,Teknologi Informasi,CSD60706,B,Administrasi Basis Data,lecture,F4.12,F,4,Kelas,102,102,False,3,0,1,4.627093297007566e-07,2160,1183,False
COA,Tue,7,15,50,07:15,08:05,Teknologi Informasi,CSD60706,B,Administrasi Basis Data,lecture,F3.8,F,3,Kelas,102,102,False,3,0,1,4.627093297007566e-07,2160,1183,False
COA,Wed,14,35,50,14:35,15:25,Teknologi Informasi,CSD60706,B,Administrasi Basis Data,lecture,F3.3,F,3,Kelas,102,102,False,3,0,1,4.627093297007566e-07,2160,1183,False
COA,Mon,12,10,50,12:10,13:00,Teknologi Informasi,CSD60706,C,Administrasi Basis Data,lecture,F3.7a,F,3,Kelas,102,102,False,3,0,1,4.627093297007566e-07,2160,1183,False
