Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,SKS,Praktikum,Kewajiban
CSD60706,Administrasi Basis Data,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",72,3,1,1
CSD60706,Administrasi Basis Data,Sistem Informasi,1,"Pengelola, Pengampu",102,3,1,1
CSD60706,Administrasi Basis Data,Sistem Informasi,1,Pengampu,75,3,1,1
CSD60706,Administrasi Basis Data,Sistem Informasi,1,Pengampu,91,3,1,1
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,"Pengelola, Pengampu",102,3,0,0
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,Pengampu,102,3,0,0
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,Pengampu,75,3,0,0
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,Pengampu,91,3,0,0
COM60011,Arsitektur dan Organisasi Komputer,Teknologi Informasi,2,Pengampu,103,2,0,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,4,3,1,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,60,3,1,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,75,3,1,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,91,3,1,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,102,3,1,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,108,3,1,1
CSD60707,Big Data dan Analitik,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",72,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,1,"Pengelola, Pengampu",52,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,1,Pengampu,16,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,1,Pengampu,20,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,1,Pengampu,80,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,1,Pengampu,102,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,2,Pengampu,89,2,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,"Pengelola, Pengampu",52,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,20,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,48,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,48,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,80,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,93,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,102,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,2,Pengampu,89,3,0,0
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,Pengampu,22,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,Pengampu,40,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,Pengampu,76,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,Pengampu,76,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,2,"Pengelola, Pengampu",47,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,2,Pengampu,48,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,"Pengelola, Pengampu",4,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,"Pengelola, Pengampu",108,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,Pengampu,22,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,Pengampu,40,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,Pengampu,76,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",14,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,"Pengelola, Pengampu",4,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,"Pengelola, Pengampu",47,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,Pengampu,22,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,Pengampu,48,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,Pengampu,76,3,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,"Pengelola, Pengampu",47,2,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,6,2,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,67,2,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,76,2,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,87,2,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,102,2,0,1
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,1,"Pengelola, Pengampu",4,3,1,1
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,1,Pengampu,31,3,1,1
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,1,Pengampu,67,3,1,1
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,1,Pengampu,108,3,1,1
CIT61016,Data Sains,Teknologi Informasi,1,Pengampu,15,3,0,1
CIT61016,Data Sains,Teknologi Informasi,2,Pengampu,89,3,0,1
CIT61021,Data Warehouse,Teknologi Informasi,1,"Pengelola, Pengampu",73,3,0,0
CIT61021,Data Warehouse,Teknologi Informasi,1,"Pengelola, Pengampu",102,3,0,0
CIT61021,Data Warehouse,Teknologi Informasi,1,Pengampu,16,3,0,0
CIT61021,Data Warehouse,Teknologi Informasi,1,Pengampu,16,3,0,0
CSD60704,Desain Basis Data,Sistem Informasi,1,"Pengelola, Pengampu",72,2,0,1
CSD60704,Desain Basis Data,Sistem Informasi,1,"Pengelola, Pengampu",102,2,0,1
CSD60704,Desain Basis Data,Sistem Informasi,1,"Pengelola, Pengampu",108,2,0,1
CSD60704,Desain Basis Data,Sistem Informasi,1,Pengampu,75,2,0,1
CSD60704,Desain Basis Data,Sistem Informasi,1,Pengampu,91,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,"Pengelola, Pengampu",22,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,"Pengelola, Pengampu",102,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,1,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,16,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,20,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,29,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,29,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,73,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,75,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,91,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,98,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,108,2,0,1
CIS61123,Enterprise Architecture II,Sistem Informasi,1,Pengampu,76,3,1,0
CIS61123,Enterprise Architecture II,Sistem Informasi,1,Pengampu,87,3,1,0
CIS61123,Enterprise Architecture II,Sistem Informasi,2,Pengampu,6,3,1,0
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,2,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4,2,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,Pengampu,22,2,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,Pengampu,48,2,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,Pengampu,77,2,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,Pengampu,77,2,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,2,Pengampu,59,2,0,1
COM60052,Etika Profesi,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,2,0,1
COM60052,Etika Profesi,Sistem Informasi,1,"Pengelola, Pengampu",4,2,0,1
COM60052,Etika Profesi,Teknologi Informasi,1,"Pengelola, Pengampu",4,2,0,1
COM60052,Etika Profesi,Teknologi Informasi,2,Pengampu,96,2,0,1
CIE61102,Filsafat Pendidikan dan Sains,Pendidikan Teknologi Informasi,1,Pengampu,59,4,0,1
CIE61102,Filsafat Pendidikan dan Sains,Pendidikan Teknologi Informasi,2,Pengampu,103,4,0,1
CIT60048,Information Retrieval,Teknologi Informasi,1,"Pengelola, Pengampu",52,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,1,"Pengelola, Pengampu",107,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,1,Pengampu,1,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,1,Pengampu,80,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,1,Pengampu,93,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,2,"Pengelola, Pengampu",47,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,2,Pengampu,89,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,2,Pengampu,97,2,0,0
CIS61102,Infrastruktur Teknologi Informasi,Sistem Informasi,1,Pengampu,17,2,0,1
