=== LAPORAN TAHAP 1: GREEDY DOSEN-MK MATCHING ===
==================================================

--- SUBSTITUSI DOSEN (0 MK) ---
  Tidak ada substitusi dosen.


--- SKS TEORI FINAL PER DOSEN ---
  Dosen 1: 26 SKS teori [LEBIH]
  Dosen 4: 69 SKS teori [LEBIH]
  Dosen 6: 32 SKS teori [LEBIH]
  Dosen 11: 10 SKS teori [KURANG]
  Dosen 12: 8 SKS teori [KURANG]
  Dosen 13: 3 SKS teori [KURANG]
  Dosen 14: 10 SKS teori [KURANG]
  Dosen 15: 13 SKS teori [OK]
  Dosen 16: 60 SKS teori [LEBIH]
  Dosen 17: 27 SKS teori [LEBIH]
  Dosen 20: 26 SKS teori [LEBIH]
  Dosen 21: 8 SKS teori [KURANG]
  Dosen 22: 27 SKS teori [LEBIH]
  Dosen 23: 4 SKS teori [KURANG]
  Dosen 29: 13 SKS teori [OK]
  Dosen 30: 9 SKS teori [KURANG]
  Dosen 31: 22 SKS teori [LEBIH]
  Dosen 35: 17 SKS teori [LEBIH]
  Dosen 39: 36 SKS teori [LEBIH]
  Dosen 40: 19 SKS teori [LEBIH]
  Dosen 41: 5 SKS teori [KURANG]
  Dosen 45: 4 SKS teori [KURANG]
  Dosen 46: 15 SKS teori [OK]
  Dosen 47: 93 SKS teori [LEBIH]
  Dosen 48: 17 SKS teori [LEBIH]
  Dosen 52: 16 SKS teori [OK]
  Dosen 53: 4 SKS teori [KURANG]
  Dosen 55: 2 SKS teori [KURANG]
  Dosen 58: 2 SKS teori [KURANG]
  Dosen 59: 19 SKS teori [LEBIH]
  Dosen 60: 28 SKS teori [LEBIH]
  Dosen 62: 21 SKS teori [LEBIH]
  Dosen 63: 2 SKS teori [KURANG]
  Dosen 65: 2 SKS teori [KURANG]
  Dosen 67: 35 SKS teori [LEBIH]
  Dosen 70: 4 SKS teori [KURANG]
  Dosen 72: 11 SKS teori [KURANG]
  Dosen 73: 10 SKS teori [KURANG]
  Dosen 75: 56 SKS teori [LEBIH]
  Dosen 76: 34 SKS teori [LEBIH]
  Dosen 77: 7 SKS teori [KURANG]
  Dosen 79: 7 SKS teori [KURANG]
  Dosen 80: 13 SKS teori [OK]
  Dosen 82: 17 SKS teori [LEBIH]
  Dosen 83: 23 SKS teori [LEBIH]
  Dosen 87: 41 SKS teori [LEBIH]
  Dosen 89: 15 SKS teori [OK]
  Dosen 90: 17 SKS teori [LEBIH]
  Dosen 91: 27 SKS teori [LEBIH]
  Dosen 92: 15 SKS teori [OK]
  Dosen 93: 11 SKS teori [KURANG]
  Dosen 94: 25 SKS teori [LEBIH]
  Dosen 96: 7 SKS teori [KURANG]
  Dosen 97: 8 SKS teori [KURANG]
  Dosen 98: 4 SKS teori [KURANG]
  Dosen 100: 37 SKS teori [LEBIH]
  Dosen 102: 44 SKS teori [LEBIH]
  Dosen 103: 52 SKS teori [LEBIH]
  Dosen 104: 6 SKS teori [KURANG]
  Dosen 105: 10 SKS teori [KURANG]
  Dosen 107: 17 SKS teori [LEBIH]
  Dosen 108: 54 SKS teori [LEBIH]
