Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",12,CSD60716,3,0,0
CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,1,Pengampu,12,CSD60716,3,0,0
CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,1,Pengampu,100,CSD60716,3,0,0
CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,1,Pengampu,11,CSD60715,3,0,0
CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,1,Pengampu,16,CSD60715,3,0,0
CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,1,Pengampu,63,CSD60715,3,0,0
CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,1,Pengampu,63,CSD60715,3,0,0
CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,1,Pengampu,63,CSD60715,3,0,0
CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,1,Pengampu,100,CSD60715,3,0,0
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,4,CIE61208,3,1,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,60,CIE61208,3,1,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,75,CIE61208,3,1,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,91,CIE61208,3,1,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,102,CIE61208,3,1,1
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,108,CIE61208,3,1,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4,COM60061,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,Pengampu,22,COM60061,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,Pengampu,40,COM60061,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,Pengampu,76,COM60061,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,1,Pengampu,76,COM60061,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,2,"Pengelola, Pengampu",47,COM60061,3,0,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,2,Pengampu,48,COM60061,3,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,COM60052,2,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4,COM60052,2,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,Pengampu,22,COM60052,2,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,Pengampu,48,COM60052,2,0,1
COM60052,Etika Profesi,Pendidikan Teknologi Informasi,1,Pengampu,77,COM60052,2,0,1
