Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CSD60706,Administrasi Basis Data,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",72,CSD60706,3,1,1
CSD60706,Administrasi Basis Data,Sistem Informasi,1,"Pengelola, Pengampu",102,CSD60706,3,1,1
CSD60706,Administrasi Basis Data,Sistem Informasi,1,Pengampu,75,CSD60706,3,1,1
CSD60706,Administrasi Basis Data,Sistem Informasi,1,Pengampu,91,CSD60706,3,1,1
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,CSD60716,3,0,0
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,1,Pengampu,37,CSD60716,3,0,0
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,1,Pengampu,37,CSD60716,3,0,0
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,1,Pengampu,37,CSD60716,3,0,0
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,1,Pengampu,100,CSD60716,3,0,0
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,2,Pengampu,12,CSD60716,3,0,0
CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,CSD60715,3,0,1
CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,1,"Pengelola, Pengampu",16,CSD60715,3,0,1
CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,1,Pengampu,37,CSD60715,3,0,1
CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,1,Pengampu,40,CSD60715,3,0,1
CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,1,Pengampu,40,CSD60715,3,0,1
CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,1,Pengampu,100,CSD60715,3,0,1
CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,1,Pengampu,108,CSD60715,3,0,1
CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,2,Pengampu,11,CSD60715,3,0,1
CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,2,Pengampu,12,CSD60715,3,0,1
CSD60707,Big Data dan Analitik,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",72,CSD60707,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,1,"Pengelola, Pengampu",52,CSD60707,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,1,Pengampu,16,CSD60707,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,1,Pengampu,20,CSD60707,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,1,Pengampu,80,CSD60707,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,1,Pengampu,102,CSD60707,2,0,0
CSD60707,Big Data dan Analitik,Sistem Informasi,2,Pengampu,89,CSD60707,2,0,0
COM60061,Capstone Project,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,COM60061,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,COM60061,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,"Pengelola, Pengampu",4,COM60061,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,"Pengelola, Pengampu",108,COM60061,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,Pengampu,22,COM60061,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,Pengampu,40,COM60061,3,0,1
COM60061,Capstone Project,Sistem Informasi,1,Pengampu,76,COM60061,3,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,"Pengelola, Pengampu",47,CIS61112,2,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,6,CIS61112,2,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,67,CIS61112,2,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,76,CIS61112,2,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,87,CIS61112,2,0,1
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,1,Pengampu,102,CIS61112,2,0,1
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",22,CIS62102,3,0,1
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",45,CIS62102,3,0,1
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,CIS62102,3,0,1
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,"Pengelola, Pengampu",4,CIS62102,3,0,1
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,"Pengelola, Pengampu",16,CIS62102,3,0,1
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,Pengampu,12,CIS62102,3,0,1
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,Pengampu,37,CIS62102,3,0,1
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,Pengampu,62,CIS62102,3,0,1
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,1,Pengampu,87,CIS62102,3,0,1
CIS62102,Desain Antar Muka Pengguna,Sistem Informasi,2,Pengampu,70,CIS62102,3,0,1
CSD60704,Desain Basis Data,Sistem Informasi,1,"Pengelola, Pengampu",72,CSD60704,2,0,1
CSD60704,Desain Basis Data,Sistem Informasi,1,"Pengelola, Pengampu",102,CSD60704,2,0,1
CSD60704,Desain Basis Data,Sistem Informasi,1,"Pengelola, Pengampu",108,CSD60704,2,0,1
CSD60704,Desain Basis Data,Sistem Informasi,1,Pengampu,75,CSD60704,2,0,1
CSD60704,Desain Basis Data,Sistem Informasi,1,Pengampu,91,CSD60704,2,0,1
CIS62108,Enterprise Architecture I,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",13,CIS62108,2,0,1
CIS62108,Enterprise Architecture I,Sistem Informasi,1,"Pengelola, Pengampu",6,CIS62108,2,0,1
CIS62108,Enterprise Architecture I,Sistem Informasi,1,"Pengelola, Pengampu",55,CIS62108,2,0,1
CIS62108,Enterprise Architecture I,Sistem Informasi,1,Pengampu,62,CIS62108,2,0,1
