Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,"Pengelola, Pengampu",102,CSD60706,3,0,0
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,Pengampu,102,CSD60706,3,0,0
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,Pengampu,75,CSD60706,3,0,0
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,Pengampu,91,CSD60706,3,0,0
CIT62015,Administrasi Sistem,Teknologi Informasi,1,Pengampu,75,CIT62015,4,1,1
CIT62015,Administrasi Sistem,Teknologi Informasi,1,Pengampu,104,CIT62015,4,1,1
CIT62015,Administrasi Sistem,Teknologi Informasi,2,Pengampu,65,CIT62015,4,1,1
COM60004,Algoritma dan Struktur Data,Teknologi Informasi,1,Pengampu,31,COM60004,3,1,1
COM60004,Algoritma dan Struktur Data,Teknologi Informasi,1,Pengampu,75,COM60004,3,1,1
COM60004,Algoritma dan Struktur Data,Teknologi Informasi,2,Pengampu,3,COM60004,3,1,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",92,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,16,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,54,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,63,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,77,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,93,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,100,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,107,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,2,Pengampu,103,CIT62011,3,0,1
COM60011,Arsitektur dan Organisasi Komputer,Teknologi Informasi,2,Pengampu,103,COM60011,2,0,1
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,"Pengelola, Pengampu",52,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,20,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,48,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,48,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,80,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,93,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,102,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,2,Pengampu,89,CSD60707,3,0,0
COM60061,Capstone Project,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",14,COM60061,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,"Pengelola, Pengampu",4,COM60061,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,"Pengelola, Pengampu",47,COM60061,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,Pengampu,22,COM60061,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,Pengampu,48,COM60061,3,0,1
