population,max_iter,seed,slot_interval,move_frac,W_HEAVY,W_SOFT,MAX_MENIT_DOSEN,final_fitness,final_penalty,execution_time,is_feasible,H1_room_conflict,H2_lecturer_conflict,H3_lecturer_overload,H4_room_type_mismatch,H5_lunch_break,H6_class_completeness,H7_lecturer_not_interested,S1_floor_movement
30,100,0,50,1.0,1000,10,2400,6.259741723056507e-06,159750,237.32,False,0,0,2,0,135,0,18,475
30,100,1,50,1.0,1000,10,2400,6.300760501792567e-06,158710,230.29,False,0,0,11,0,126,0,17,471
30,100,42,50,1.0,1000,10,2400,6.27073260969079e-06,159470,203.35,False,0,0,0,0,133,0,22,447
30,100,123,50,1.0,1000,10,2400,6.19382970684604e-06,161450,203.6,False,0,0,11,0,128,0,18,445
30,100,2024,50,1.0,1000,10,2400,6.260133591250837e-06,159740,202.73,False,0,0,0,0,132,0,23,474
30,300,0,50,1.0,1000,10,2400,6.429999807100006e-06,155520,624.3,False,0,0,5,0,130,0,16,452
30,300,1,50,1.0,1000,10,2400,6.501485589457191e-06,153810,684.95,False,0,0,10,0,128,0,11,481
30,300,42,50,1.0,1000,10,2400,6.459072089703593e-06,154820,690.59,False,0,1,10,0,134,0,5,482
30,300,123,50,1.0,1000,10,2400,6.546173434318969e-06,152760,676.05,False,0,0,2,0,131,0,15,476
30,300,2024,50,1.0,1000,10,2400,6.771810308049651e-06,147670,700.33,False,0,0,1,0,132,0,10,467
30,500,0,50,1.0,1000,10,2400,6.429999807100006e-06,155520,993.36,False,0,0,5,0,130,0,16,452
30,500,1,50,1.0,1000,10,2400,6.7190303095457265e-06,148830,1035.16,False,0,0,1,0,129,0,14,483
30,500,42,50,1.0,1000,10,2400,6.816121490549448e-06,146710,1088.36,False,0,0,2,0,131,0,9,471
30,500,123,50,1.0,1000,10,2400,6.824028770105295e-06,146540,1088.04,False,0,0,2,0,126,0,14,454
30,500,2024,50,1.0,1000,10,2400,6.771810308049651e-06,147670,1061.52,False,0,0,1,0,132,0,10,467
30,1000,0,50,1.0,1000,10,2400,6.859604475205959e-06,145780,1959.14,False,0,0,7,0,124,0,10,478
30,1000,1,50,1.0,1000,10,2400,6.909369796380872e-06,144730,2172.57,False,0,0,7,0,125,0,8,473
30,1000,42,50,1.0,1000,10,2400,6.91845220387295e-06,144540,2081.51,False,0,0,2,0,130,0,8,454
30,1000,123,50,1.0,1000,10,2400,6.869972039213801e-06,145560,2062.65,False,0,0,8,0,129,0,4,456
30,1000,2024,50,1.0,1000,10,2400,6.7805344417246964e-06,147480,2058.96,False,0,0,3,0,133,0,7,448
50,100,0,50,1.0,1000,10,2400,6.2573915437610675e-06,159810,351.49,False,0,0,8,0,132,0,15,481
50,100,1,50,1.0,1000,10,2400,6.6875764891560945e-06,149530,351.48,False,0,0,3,0,128,0,14,453
50,100,42,50,1.0,1000,10,2400,6.141713906682799e-06,162820,355.3,False,0,0,13,0,133,0,12,482
50,100,123,50,1.0,1000,10,2400,6.178522221055168e-06,161850,357.48,False,0,0,12,0,137,0,8,485
50,100,2024,50,1.0,1000,10,2400,6.421741447845827e-06,155720,336.68,False,0,0,7,0,131,0,13,472
50,300,0,50,1.0,1000,10,2400,6.630816054531831e-06,150810,992.47,False,0,0,6,0,128,0,12,481
50,300,1,50,1.0,1000,10,2400,6.6875764891560945e-06,149530,1067.57,False,0,0,3,0,128,0,14,453
50,300,42,50,1.0,1000,10,2400,6.509950459277005e-06,153610,1123.16,False,0,0,3,0,136,0,10,461
50,300,123,50,1.0,1000,10,2400,6.672850174495032e-06,149860,1105.25,False,0,0,8,0,128,0,9,486
50,300,2024,50,1.0,1000,10,2400,6.68668213519134e-06,149550,1034.06,False,0,0,5,0,129,0,11,455
50,500,0,50,1.0,1000,10,2400,6.632135348618195e-06,150780,1724.06,False,0,0,10,0,125,0,11,478
50,500,1,50,1.0,1000,10,2400,6.963739806825858e-06,143600,1736.27,False,0,0,1,0,126,0,12,460
50,500,42,50,1.0,1000,10,2400,6.688918468772784e-06,149500,1900.18,False,0,0,1,0,126,0,18,450
50,500,123,50,1.0,1000,10,2400,6.82729004376293e-06,146470,1712.03,False,0,0,2,0,126,0,14,447
50,500,2024,50,1.0,1000,10,2400,7.067087865103427e-06,141500,1776.83,False,0,0,2,0,132,0,3,450
50,1000,0,50,1.0,1000,10,2400,6.858663520826332e-06,145800,3463.45,False,0,0,3,0,131,0,7,480
50,1000,1,50,1.0,1000,10,2400,6.963739806825858e-06,143600,3377.46,False,0,0,1,0,126,0,12,460
50,1000,42,50,1.0,1000,10,2400,6.963739806825858e-06,143600,3609.07,False,0,0,1,0,130,0,8,460
50,1000,123,50,1.0,1000,10,2400,7.09919708081016e-06,140860,3702.61,False,0,0,2,0,129,0,5,486
50,1000,2024,50,1.0,1000,10,2400,7.067087865103427e-06,141500,3541.92,False,0,0,2,0,132,0,3,450
