Hari,Jam_Mulai,Jam_Selesai,Prodi,Kode_MK,Kelas,Nama_MK,Jenis,Ruang,Gedung,Lantai,Tipe_Ruang,Dosen,SKS,Kewajiban,Feasible
Fri,07:00,07:50,Pendidikan Teknologi Informasi,CIE61102,D,Filsafat Pendidikan dan Sains,lecture,F11.1,F,11,Kelas,103,4,1,False
Fri,07:00,07:50,Sistem Informasi,CIS61107,C,Manajemen Produk,lecture,F2.8,F,2,Kelas,47,3,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,CSD60712,D,Probabilitas dan Statistika,lecture,F3.13,F,3,Kelas,11,3,1,False
Fri,07:00,07:50,Sistem Informasi,CIS61106,A,Keamanan dan Privasi Data,lecture,F3.17,F,3,Kelas,17,2,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,COM60061,D,Capstone Project,lecture,F3.18,F,3,Kelas,76,3,1,False
Fri,07:00,07:50,Sistem Informasi,CSD60711,D,Perancangan Pengalaman Pengguna,lecture,F3.6,F,3,Kelas,62,3,1,False
Fri,07:00,07:50,Teknologi Informasi,CIT60031,A,Manajemen Proyek Teknologi Informasi,lecture,F3.9,F,3,Kelas,94,3,0,False
Fri,07:00,07:50,Teknologi Informasi,CIT61016,C,Data Sains,lecture,F4.3,F,4,Kelas,15,3,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,COM60014,D,Pemrograman Dasar,practicum,G1.3,G,1,Lab,75,5,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,CIE61208,A,Basis Data,practicum,G1.7,G,1,Lab,4,3,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,CIE61109,B,Pembelajaran Mikro,practicum,G1.8,G,1,Lab,100,3,1,False
Fri,07:50,08:40,Pendidikan Teknologi Informasi,COM60015,C,Matematika Diskret,lecture,F11.1,F,11,Kelas,103,2,1,False
Fri,07:50,08:40,Pendidikan Teknologi Informasi,COM60051,B,Metodologi Penelitian dan Penulisan Ilmiah,lecture,F2.2,F,2,Kelas,100,3,1,False
Fri,07:50,08:40,Sistem Informasi,COM60016,A,Pengantar Keilmuan Komputer,lecture,F2.4,F,2,Kelas,47,2,1,False
Fri,07:50,08:40,Sistem Informasi,CSD60704,A,Desain Basis Data,lecture,F2.5,F,2,Kelas,72,2,1,False
Fri,07:50,08:40,Sistem Informasi,CIS61110,A,Pengembangan Aplikasi Mobile,lecture,F3.12,F,3,Kelas,4,3,1,False
Fri,07:50,08:40,Sistem Informasi,CIS60101,A,Perkembangan dan Tren Teknologi Digital,lecture,F3.13,F,3,Kelas,94,2,0,False
Fri,07:50,08:40,Teknologi Informasi,CIT60045,A,Kriptografi,lecture,F3.3,F,3,Kelas,14,3,0,False
Fri,07:50,08:40,Sistem Informasi,COM60061,B,Capstone Project,lecture,F3.4,F,3,Kelas,87,3,1,False
Fri,07:50,08:40,Pendidikan Teknologi Informasi,COM60016,D,Pengantar Keilmuan Komputer,lecture,F3.6,F,3,Kelas,90,2,1,False
Fri,07:50,08:40,Sistem Informasi,CIS60103,A,Pemrograman Web Lanjut,lecture,F3.8,F,3,Kelas,1,3,0,False
Fri,07:50,08:40,Sistem Informasi,CSD60712,D,Probabilitas dan Statistika,lecture,F3.9,F,3,Kelas,83,3,1,False
Fri,07:50,08:40,Teknologi Informasi,CSD60705,C,Pemrograman SQL,lecture,F4.12,F,4,Kelas,91,3,1,False
Fri,07:50,08:40,Sistem Informasi,CIS61115,B,Komunikasi Profesional,lecture,F4.5,F,4,Kelas,108,2,1,False
Fri,08:40,09:30,Teknologi Informasi,CIT60042,A,Teknologi Blockchain dan Platform Keuangan Digital,lecture,F11.4,F,11,Kelas,14,2,0,False
Fri,08:40,09:30,Teknologi Informasi,COM60025,C,Kalkulus,lecture,F2.5,F,2,Kelas,103,2,1,False
Fri,08:40,09:30,Teknologi Informasi,COM60014,B,Pemrograman Dasar,lecture,F3.1,F,3,Kelas,4,5,1,False
Fri,08:40,09:30,Sistem Informasi,CIS61128,A,Keamanan Jaringan dan Siber,lecture,F3.14,F,3,Kelas,17,3,0,False
Fri,08:40,09:30,Pendidikan Teknologi Informasi,CSD60708,C,Penambangan Data,lecture,F3.16,F,3,Kelas,102,3,1,False
