population,max_iter,seed,slot_interval,move_frac,W_HEAVY,W_SOFT,MAX_MENIT_DOSEN,final_fitness,final_penalty,initial_penalty,reduction_pct,execution_time,is_feasible,H1_room_conflict,H2_lecturer_conflict,H3_lecturer_overload,H4_room_type_mismatch,H5_lunch_break,H6_class_completeness,S1_floor_movement
30,100,0,50,1.0,1000,10,2400,251820,251820,272700,7.66,357.14,False,4,26,86,0,131,0,482
30,100,1,50,1.0,1000,10,2400,247830,247830,273890,9.51,340.43,False,8,25,86,0,124,0,483
30,100,42,50,1.0,1000,10,2400,248970,248970,277790,10.37,340.36,False,2,26,86,0,130,0,497
30,100,123,50,1.0,1000,10,2400,254020,254020,287770,11.73,315.45,False,3,26,86,0,134,0,502
30,100,2024,50,1.0,1000,10,2400,248750,248750,273950,9.2,315.2,False,3,26,86,0,129,0,475
30,300,0,50,1.0,1000,10,2400,245640,245640,272700,9.92,932.66,False,5,26,86,0,124,0,464
30,300,1,50,1.0,1000,10,2400,247830,247830,273890,9.51,976.43,False,8,25,86,0,124,0,483
30,300,42,50,1.0,1000,10,2400,248800,248800,277790,10.44,874.94,False,5,26,86,0,127,0,480
30,300,123,50,1.0,1000,10,2400,246750,246750,287770,14.25,901.47,False,4,26,86,0,126,0,475
30,300,2024,50,1.0,1000,10,2400,244710,244710,273950,10.67,1048.16,False,3,26,86,0,125,0,471
30,500,0,50,1.0,1000,10,2400,245640,245640,272700,9.92,1735.57,False,5,26,86,0,124,0,464
30,500,1,50,1.0,1000,10,2400,245650,245650,273890,10.31,1426.72,False,3,25,86,0,127,0,465
30,500,42,50,1.0,1000,10,2400,246840,246840,277790,11.14,1428.63,False,3,26,86,0,127,0,484
30,500,123,50,1.0,1000,10,2400,246750,246750,287770,14.25,1425.82,False,4,26,86,0,126,0,475
30,500,2024,50,1.0,1000,10,2400,244710,244710,273950,10.67,1425.37,False,3,26,86,0,125,0,471
30,1000,0,50,1.0,1000,10,2400,245580,245580,272700,9.94,2868.13,False,6,26,86,0,123,0,458
30,1000,1,50,1.0,1000,10,2400,245650,245650,273890,10.31,2881.79,False,3,25,86,0,127,0,465
30,1000,42,50,1.0,1000,10,2400,246620,246620,277790,11.22,2852.21,False,0,27,86,0,129,0,462
30,1000,123,50,1.0,1000,10,2400,244640,244640,287770,14.99,2850.16,False,6,26,86,0,122,0,464
30,1000,2024,50,1.0,1000,10,2400,244710,244710,273950,10.67,2818.22,False,3,26,86,0,125,0,471
50,100,0,50,1.0,1000,10,2400,244910,244910,272700,10.19,466.27,False,4,26,86,0,124,0,491
50,100,1,50,1.0,1000,10,2400,249890,249890,273890,8.76,465.64,False,5,25,86,0,129,0,489
50,100,42,50,1.0,1000,10,2400,249570,249570,277790,10.16,466.66,False,4,26,86,0,129,0,457
50,100,123,50,1.0,1000,10,2400,252970,252970,287770,12.09,468.33,False,4,27,86,0,131,0,497
50,100,2024,50,1.0,1000,10,2400,249730,249730,273950,8.84,466.06,False,4,25,86,0,130,0,473
50,300,0,50,1.0,1000,10,2400,244910,244910,272700,10.19,1400.67,False,4,26,86,0,124,0,491
50,300,1,50,1.0,1000,10,2400,246760,246760,273890,9.91,1405.78,False,3,26,86,0,127,0,476
50,300,42,50,1.0,1000,10,2400,247590,247590,277790,10.87,1403.99,False,5,26,86,0,126,0,459
50,300,123,50,1.0,1000,10,2400,245800,245800,287770,14.58,1401.89,False,2,26,86,0,127,0,480
50,300,2024,50,1.0,1000,10,2400,241850,241850,273950,11.72,1404.69,False,3,25,86,0,123,0,485
50,500,0,50,1.0,1000,10,2400,242860,242860,272700,10.94,2340.71,False,2,26,86,0,124,0,486
50,500,1,50,1.0,1000,10,2400,243870,243870,273890,10.96,2350.52,False,1,26,86,0,126,0,487
50,500,42,50,1.0,1000,10,2400,244890,244890,277790,11.84,2350.13,False,3,25,86,0,126,0,489
50,500,123,50,1.0,1000,10,2400,243020,243020,287770,15.55,2350.85,False,3,26,86,0,123,0,502
50,500,2024,50,1.0,1000,10,2400,241850,241850,273950,11.72,2353.04,False,3,25,86,0,123,0,485
50,1000,0,50,1.0,1000,10,2400,242860,242860,272700,10.94,5456.58,False,2,26,86,0,124,0,486
50,1000,1,50,1.0,1000,10,2400,243870,243870,273890,10.96,5162.38,False,1,26,86,0,126,0,487
50,1000,42,50,1.0,1000,10,2400,241730,241730,277790,12.98,5012.65,False,3,26,86,0,122,0,473
50,1000,123,50,1.0,1000,10,2400,241760,241760,287770,15.99,4528.49,False,3,28,86,0,120,0,476
50,1000,2024,50,1.0,1000,10,2400,241850,241850,273950,11.72,4586.81,False,3,25,86,0,123,0,485
