iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,262750.00000000,262750,258,475,False,4.58
2,258790.00000000,258790,254,479,False,7.71
3,258790.00000000,258790,254,479,False,10.76
4,258790.00000000,258790,254,479,False,13.79
5,257930.00000000,257930,253,493,False,16.97
6,257930.00000000,257930,253,493,False,20.31
7,257930.00000000,257930,253,493,False,24.92
8,257930.00000000,257930,253,493,False,28.31
9,257930.00000000,257930,253,493,False,31.46
10,257930.00000000,257930,253,493,False,35.01
11,257930.00000000,257930,253,493,False,39.55
12,253840.00000000,253840,249,484,False,43.67
13,253840.00000000,253840,249,484,False,47.58
14,253840.00000000,253840,249,484,False,50.8
15,253840.00000000,253840,249,484,False,54.33
16,253840.00000000,253840,249,484,False,58.27
17,253840.00000000,253840,249,484,False,62.75
18,253840.00000000,253840,249,484,False,66.58
19,253840.00000000,253840,249,484,False,69.88
20,253840.00000000,253840,249,484,False,73.21
21,253840.00000000,253840,249,484,False,77.82
22,253840.00000000,253840,249,484,False,82.55
23,253840.00000000,253840,249,484,False,87.16
24,253840.00000000,253840,249,484,False,90.38
25,252970.00000000,252970,248,497,False,93.6
26,252970.00000000,252970,248,497,False,97.27
27,252970.00000000,252970,248,497,False,101.68
28,252970.00000000,252970,248,497,False,105.63
29,252970.00000000,252970,248,497,False,111.48
30,252970.00000000,252970,248,497,False,115.68
31,252970.00000000,252970,248,497,False,120.09
32,252970.00000000,252970,248,497,False,123.34
33,252970.00000000,252970,248,497,False,127.25
34,252970.00000000,252970,248,497,False,131.11
35,252970.00000000,252970,248,497,False,135.4
36,252970.00000000,252970,248,497,False,138.55
37,252970.00000000,252970,248,497,False,141.68
38,252970.00000000,252970,248,497,False,145.54
39,252970.00000000,252970,248,497,False,149.17
40,252970.00000000,252970,248,497,False,153.27
41,252970.00000000,252970,248,497,False,156.92
42,252970.00000000,252970,248,497,False,160.33
43,252970.00000000,252970,248,497,False,163.9
44,252970.00000000,252970,248,497,False,167.3
45,252970.00000000,252970,248,497,False,170.96
46,252970.00000000,252970,248,497,False,174.28
47,252970.00000000,252970,248,497,False,177.48
48,252970.00000000,252970,248,497,False,180.73
49,252970.00000000,252970,248,497,False,184.0
50,252970.00000000,252970,248,497,False,187.06
51,252970.00000000,252970,248,497,False,190.45
52,252970.00000000,252970,248,497,False,194.48
53,252970.00000000,252970,248,497,False,197.77
54,252970.00000000,252970,248,497,False,200.95
55,252970.00000000,252970,248,497,False,205.57
56,252970.00000000,252970,248,497,False,209.77
57,252970.00000000,252970,248,497,False,213.46
58,252970.00000000,252970,248,497,False,217.19
59,252970.00000000,252970,248,497,False,220.54
60,252970.00000000,252970,248,497,False,224.05
61,252970.00000000,252970,248,497,False,227.98
62,252970.00000000,252970,248,497,False,231.45
63,252970.00000000,252970,248,497,False,235.08
64,252970.00000000,252970,248,497,False,239.33
65,252970.00000000,252970,248,497,False,243.29
66,252970.00000000,252970,248,497,False,246.76
67,252970.00000000,252970,248,497,False,249.8
68,252970.00000000,252970,248,497,False,252.83
69,252970.00000000,252970,248,497,False,255.84
70,252970.00000000,252970,248,497,False,258.91
71,252970.00000000,252970,248,497,False,262.08
72,252970.00000000,252970,248,497,False,265.3
73,252970.00000000,252970,248,497,False,268.36
74,252970.00000000,252970,248,497,False,271.79
75,252970.00000000,252970,248,497,False,275.92
76,252970.00000000,252970,248,497,False,279.95
77,252970.00000000,252970,248,497,False,283.55
78,252970.00000000,252970,248,497,False,286.91
79,252970.00000000,252970,248,497,False,290.14
80,252970.00000000,252970,248,497,False,293.23
81,252970.00000000,252970,248,497,False,296.23
82,252970.00000000,252970,248,497,False,299.63
83,252970.00000000,252970,248,497,False,302.98
84,252970.00000000,252970,248,497,False,305.94
85,252970.00000000,252970,248,497,False,309.35
86,252970.00000000,252970,248,497,False,312.88
87,252970.00000000,252970,248,497,False,315.94
88,252970.00000000,252970,248,497,False,319.03
89,252970.00000000,252970,248,497,False,322.05
90,252970.00000000,252970,248,497,False,325.08
91,251820.00000000,251820,247,482,False,328.17
92,251820.00000000,251820,247,482,False,331.19
93,251820.00000000,251820,247,482,False,334.42
94,251820.00000000,251820,247,482,False,337.49
95,251820.00000000,251820,247,482,False,341.2
96,251820.00000000,251820,247,482,False,344.4
97,251820.00000000,251820,247,482,False,347.44
98,251820.00000000,251820,247,482,False,350.75
99,251820.00000000,251820,247,482,False,353.75
100,251820.00000000,251820,247,482,False,357.14
