Hari,Jam_Mulai,Jam_Selesai,Prodi,Kode_MK,Kelas,Nama_MK,Jenis,Ruang,Gedung,Lantai,Tipe_Ruang,Dosen,Dosen_Berminat,SKS,Kewajiban,Feasible
Fri,07:00,07:50,Sistem Informasi,CIS60103,A,Pemrograman Web Lanjut,lecture,F11.1,F,11,Kelas,22,True,3,0,False
Fri,07:00,07:50,Sistem Informasi,CIS61113,A,Sistem Enterprise,lecture,F2.6,F,2,Kelas,76,True,3,1,False
Fri,07:00,07:50,Sistem Informasi,CIS61108,A,Rekayasa Sistem Informasi,lecture,F2.8,F,2,Kelas,108,True,5,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,COM60051,A,Metodologi Penelitian dan Penulisan Ilmiah,lecture,F3.12,F,3,Kelas,100,True,3,1,False
Fri,07:00,07:50,Sistem Informasi,CSD60703,B,Tata Kelola Teknologi Informasi,lecture,F3.13,F,3,Kelas,6,True,3,1,False
Fri,07:00,07:50,Teknologi Informasi,COM60052,A,Etika Profesi,lecture,F3.15,F,3,Kelas,4,True,2,1,False
Fri,07:00,07:50,Teknologi Informasi,COM60052,D,Etika Profesi,lecture,F3.17,F,3,Kelas,96,True,2,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,CIE61301,A,Kalkulus dan Aljabar Linear,lecture,F4.11,F,4,Kelas,75,True,3,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,COM60016,B,Pengantar Keilmuan Komputer,lecture,F4.14,F,4,Kelas,103,True,2,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,CSD60712,C,Probabilitas dan Statistika,lecture,F4.9,F,4,Kelas,11,True,3,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,CIE61205,C,Pemrograman Web,practicum,G1.2,G,1,Lab,105,True,3,1,False
Fri,07:00,07:50,Pendidikan Teknologi Informasi,CSD60702,A,Sistem Pendukung Keputusan,practicum,G1.5,G,1,Lab,83,True,3,0,False
Fri,07:50,08:40,Sistem Informasi,CIS61113,C,Sistem Enterprise,lecture,F2.2,F,2,Kelas,76,True,3,1,False
Fri,07:50,08:40,Sistem Informasi,COM60016,A,Pengantar Keilmuan Komputer,lecture,F2.4,F,2,Kelas,47,True,2,1,False
Fri,07:50,08:40,Sistem Informasi,COM60015,C,Matematika Diskret,lecture,F2.8,F,2,Kelas,103,True,2,1,False
