population,max_iter,seed,slot_interval,move_frac,W_HEAVY,W_SOFT,MAX_MENIT_DOSEN,final_fitness,final_penalty,initial_penalty,reduction_pct,execution_time,is_feasible,H1_room_conflict,H2_lecturer_conflict,H3_lecturer_overload,H4_room_type_mismatch,H5_lunch_break,H6_class_completeness,S1_floor_movement
30,100,0,50,1.0,1000,10,2400,3.971074691943881e-06,251820,272700,7.66,296.77,False,4,26,86,0,131,0,482
30,100,1,50,1.0,1000,10,2400,4.035007727039797e-06,247830,273890,9.51,262.22,False,8,25,86,0,124,0,483
30,100,42,50,1.0,1000,10,2400,4.0165320459009285e-06,248970,277790,10.37,261.01,False,2,26,86,0,130,0,497
30,100,123,50,1.0,1000,10,2400,3.936682400273993e-06,254020,287770,11.73,260.92,False,3,26,86,0,134,0,502
30,100,2024,50,1.0,1000,10,2400,4.020084341369482e-06,248750,273950,9.2,280.84,False,3,26,86,0,129,0,475
30,300,0,50,1.0,1000,10,2400,4.070981635801841e-06,245640,272700,9.92,876.71,False,5,26,86,0,124,0,464
30,300,1,50,1.0,1000,10,2400,4.035007727039797e-06,247830,273890,9.51,894.31,False,8,25,86,0,124,0,483
30,300,42,50,1.0,1000,10,2400,4.019276449853498e-06,248800,277790,10.44,899.37,False,5,26,86,0,127,0,480
30,300,123,50,1.0,1000,10,2400,4.052668479560366e-06,246750,287770,14.25,815.75,False,4,26,86,0,126,0,475
30,300,2024,50,1.0,1000,10,2400,4.086452999660825e-06,244710,273950,10.67,783.94,False,3,26,86,0,125,0,471
30,500,0,50,1.0,1000,10,2400,4.070981635801841e-06,245640,272700,9.92,1404.02,False,5,26,86,0,124,0,464
30,500,1,50,1.0,1000,10,2400,4.070815913633569e-06,245650,273890,10.31,1428.35,False,3,25,86,0,127,0,465
30,500,42,50,1.0,1000,10,2400,4.051190847549637e-06,246840,277790,11.14,1373.22,False,3,26,86,0,127,0,484
30,500,123,50,1.0,1000,10,2400,4.052668479560366e-06,246750,287770,14.25,1304.9,False,4,26,86,0,126,0,475
30,500,2024,50,1.0,1000,10,2400,4.086452999660825e-06,244710,273950,10.67,1348.18,False,3,26,86,0,125,0,471
30,1000,0,50,1.0,1000,10,2400,4.071976252234497e-06,245580,272700,9.94,2826.04,False,6,26,86,0,123,0,458
30,1000,1,50,1.0,1000,10,2400,4.070815913633569e-06,245650,273890,10.31,2715.54,False,3,25,86,0,127,0,465
30,1000,42,50,1.0,1000,10,2400,4.054804740877703e-06,246620,277790,11.22,2713.77,False,0,27,86,0,129,0,462
30,1000,123,50,1.0,1000,10,2400,4.087622271001181e-06,244640,287770,14.99,2683.54,False,6,26,86,0,122,0,464
30,1000,2024,50,1.0,1000,10,2400,4.086452999660825e-06,244710,273950,10.67,2843.38,False,3,26,86,0,125,0,471
50,100,0,50,1.0,1000,10,2400,4.0831159074112634e-06,244910,272700,10.19,444.82,False,4,26,86,0,124,0,491
50,100,1,50,1.0,1000,10,2400,4.0017447607156724e-06,249890,273890,8.76,445.63,False,5,25,86,0,129,0,489
50,100,42,50,1.0,1000,10,2400,4.006875798870863e-06,249570,277790,10.16,454.3,False,4,26,86,0,129,0,457
50,100,123,50,1.0,1000,10,2400,3.95302228318661e-06,252970,287770,12.09,431.65,False,4,27,86,0,131,0,497
50,100,2024,50,1.0,1000,10,2400,4.004308636092435e-06,249730,273950,8.84,460.01,False,4,25,86,0,130,0,473
50,300,0,50,1.0,1000,10,2400,4.0831159074112634e-06,244910,272700,10.19,1344.8,False,4,26,86,0,124,0,491
50,300,1,50,1.0,1000,10,2400,4.0525042449981965e-06,246760,273890,9.91,1432.93,False,3,26,86,0,127,0,476
50,300,42,50,1.0,1000,10,2400,4.038919023712493e-06,247590,277790,10.87,1469.03,False,5,26,86,0,126,0,459
50,300,123,50,1.0,1000,10,2400,4.068331699220101e-06,245800,287770,14.58,1311.07,False,2,26,86,0,127,0,480
50,300,2024,50,1.0,1000,10,2400,4.134777197530711e-06,241850,273950,11.72,1392.08,False,3,25,86,0,123,0,485
50,500,0,50,1.0,1000,10,2400,4.1175816619383105e-06,242860,272700,10.94,2365.04,False,2,26,86,0,124,0,486
50,500,1,50,1.0,1000,10,2400,4.100528558131143e-06,243870,273890,10.96,2151.85,False,1,26,86,0,126,0,487
50,500,42,50,1.0,1000,10,2400,4.083449371352969e-06,244890,277790,11.84,2270.32,False,3,25,86,0,126,0,489
50,500,123,50,1.0,1000,10,2400,4.114870731335975e-06,243020,287770,15.55,2266.9,False,3,26,86,0,123,0,502
50,500,2024,50,1.0,1000,10,2400,4.134777197530711e-06,241850,273950,11.72,2396.84,False,3,25,86,0,123,0,485
50,1000,0,50,1.0,1000,10,2400,4.1175816619383105e-06,242860,272700,10.94,4840.54,False,2,26,86,0,124,0,486
50,1000,1,50,1.0,1000,10,2400,4.100528558131143e-06,243870,273890,10.96,4540.32,False,1,26,86,0,126,0,487
50,1000,42,50,1.0,1000,10,2400,4.136829781864966e-06,241730,277790,12.98,4472.37,False,3,26,86,0,122,0,473
50,1000,123,50,1.0,1000,10,2400,4.13631644475329e-06,241760,287770,15.99,4575.86,False,3,28,86,0,120,0,476
50,1000,2024,50,1.0,1000,10,2400,4.134777197530711e-06,241850,273950,11.72,4498.68,False,3,25,86,0,123,0,485
