iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,0.00000380,262940,258,494,False,4.41
2,0.00000383,260850,256,485,False,8.86
3,0.00000383,260850,256,485,False,13.23
4,0.00000383,260850,256,485,False,17.59
5,0.00000383,260850,256,485,False,21.9
6,0.00000383,260780,256,478,False,26.34
7,0.00000383,260780,256,478,False,30.88
8,0.00000383,260780,256,478,False,35.37
9,0.00000383,260780,256,478,False,39.76
10,0.00000383,260780,256,478,False,44.04
11,0.00000383,260780,256,478,False,48.42
12,0.00000387,258080,253,508,False,52.79
13,0.00000387,258080,253,508,False,57.18
14,0.00000387,258080,253,508,False,61.54
15,0.00000387,258080,253,508,False,65.93
16,0.00000387,258080,253,508,False,70.25
17,0.00000387,258080,253,508,False,74.65
18,0.00000387,258080,253,508,False,78.95
19,0.00000387,258080,253,508,False,83.33
20,0.00000387,258080,253,508,False,87.67
21,0.00000387,258080,253,508,False,91.99
22,0.00000387,258080,253,508,False,96.35
23,0.00000387,258080,253,508,False,100.66
24,0.00000387,258080,253,508,False,104.99
25,0.00000387,258080,253,508,False,109.31
26,0.00000387,258080,253,508,False,113.67
27,0.00000389,256930,252,493,False,117.97
28,0.00000389,256930,252,493,False,122.35
29,0.00000389,256930,252,493,False,126.65
30,0.00000389,256930,252,493,False,131.01
31,0.00000389,256930,252,493,False,135.31
32,0.00000389,256910,252,491,False,139.81
33,0.00000389,256910,252,491,False,144.11
34,0.00000389,256910,252,491,False,148.51
35,0.00000389,256910,252,491,False,152.87
36,0.00000389,256910,252,491,False,157.21
37,0.00000389,256910,252,491,False,161.6
38,0.00000389,256910,252,491,False,165.96
39,0.00000395,252970,248,497,False,170.43
40,0.00000395,252970,248,497,False,174.75
41,0.00000395,252970,248,497,False,179.15
42,0.00000395,252970,248,497,False,183.46
43,0.00000395,252970,248,497,False,187.83
44,0.00000395,252970,248,497,False,192.12
45,0.00000395,252970,248,497,False,196.5
46,0.00000395,252970,248,497,False,200.79
47,0.00000395,252970,248,497,False,205.13
48,0.00000395,252970,248,497,False,209.4
49,0.00000395,252970,248,497,False,213.74
50,0.00000395,252970,248,497,False,218.03
51,0.00000395,252970,248,497,False,222.38
52,0.00000395,252970,248,497,False,226.71
53,0.00000395,252970,248,497,False,231.09
54,0.00000395,252970,248,497,False,235.44
55,0.00000395,252970,248,497,False,239.82
56,0.00000395,252970,248,497,False,244.17
57,0.00000395,252970,248,497,False,248.46
58,0.00000395,252970,248,497,False,252.84
59,0.00000395,252970,248,497,False,257.17
60,0.00000395,252970,248,497,False,261.47
61,0.00000395,252970,248,497,False,265.83
62,0.00000395,252970,248,497,False,270.11
63,0.00000395,252970,248,497,False,274.4
64,0.00000395,252970,248,497,False,278.74
65,0.00000395,252970,248,497,False,283.05
66,0.00000395,252970,248,497,False,287.35
67,0.00000395,252970,248,497,False,291.7
68,0.00000395,252970,248,497,False,295.97
69,0.00000395,252970,248,497,False,300.31
70,0.00000395,252970,248,497,False,304.73
71,0.00000395,252970,248,497,False,309.11
72,0.00000395,252970,248,497,False,313.45
73,0.00000395,252970,248,497,False,317.81
74,0.00000395,252970,248,497,False,322.13
75,0.00000395,252970,248,497,False,326.49
76,0.00000395,252970,248,497,False,331.45
77,0.00000395,252970,248,497,False,336.07
78,0.00000395,252970,248,497,False,340.63
79,0.00000395,252970,248,497,False,345.13
80,0.00000395,252970,248,497,False,349.6
81,0.00000395,252970,248,497,False,354.0
82,0.00000395,252970,248,497,False,358.54
83,0.00000395,252970,248,497,False,362.91
84,0.00000395,252970,248,497,False,367.28
85,0.00000395,252970,248,497,False,371.59
86,0.00000395,252970,248,497,False,375.98
87,0.00000395,252970,248,497,False,380.35
88,0.00000395,252970,248,497,False,384.64
89,0.00000395,252970,248,497,False,389.01
90,0.00000395,252970,248,497,False,393.33
91,0.00000395,252970,248,497,False,397.68
92,0.00000395,252970,248,497,False,402.03
93,0.00000395,252970,248,497,False,406.41
94,0.00000395,252970,248,497,False,410.73
95,0.00000395,252970,248,497,False,415.1
96,0.00000395,252970,248,497,False,419.45
97,0.00000395,252970,248,497,False,423.86
98,0.00000395,252970,248,497,False,428.23
99,0.00000395,252970,248,497,False,432.57
100,0.00000395,252970,248,497,False,436.9
101,0.00000395,252970,248,497,False,441.38
102,0.00000395,252970,248,497,False,445.81
103,0.00000395,252970,248,497,False,450.19
104,0.00000395,252970,248,497,False,454.58
105,0.00000395,252970,248,497,False,458.9
106,0.00000395,252970,248,497,False,463.3
