model,population,max_iter,slot_interval,mean_fitness,std_fitness,best_fitness,mean_penalty,mean_exec_time,feasible_rate
Model 1 (Full COA),30,100,50,6.257039626527347e-06,3.9087659853691625e-08,6.300760501792567e-06,159824.0,215.458,0.0
Model 1 (Full COA),30,300,50,6.541708245725882e-06,1.3591566191438744e-07,6.771810308049651e-06,152916.0,675.244,0.0
Model 1 (Full COA),30,500,50,6.712198137070025e-06,1.6320412129522653e-07,6.824028770105295e-06,149054.0,1053.288,0.0
Model 1 (Full COA),30,1000,50,6.867586591279656e-06,5.472802767782944e-08,6.91845220387295e-06,145618.0,2066.9660000000003,0.0
Model 1 (Full COA),50,100,50,6.3373891217001925e-06,2.2342426100395876e-07,6.687576489156095e-06,157946.0,350.486,0.0
Model 1 (Full COA),50,300,50,6.637575062530261e-06,7.498283856783528e-08,6.687576489156095e-06,150672.0,1064.502,0.0
Model 1 (Full COA),50,500,50,6.835834306616639e-06,1.82337981934168e-07,7.067087865103427e-06,146370.0,1769.8739999999998,0.0
Model 1 (Full COA),50,1000,50,6.990485616078327e-06,9.551678980892435e-08,7.09919708081016e-06,143072.0,3538.9020000000005,0.0
Model 2 (Greedy),30,100,50,3.995876241305616e-06,4.081358601852454e-08,4.035007727039797e-06,250278.0,272.352,0.0
Model 2 (Greedy),30,300,50,4.052877458383265e-06,2.6941960566827812e-08,4.086452999660825e-06,246746.0,854.016,0.0
Model 2 (Greedy),30,500,50,4.066421975241248e-06,1.4684047743411972e-08,4.086452999660825e-06,245918.0,1371.734,0.0
Model 2 (Greedy),30,1000,50,4.074334435481555e-06,1.3442248380618055e-08,4.087622271001181e-06,245440.0,2756.454,0.0
Model 2 (Greedy),50,100,50,4.009813477255368e-06,4.664365821747175e-08,4.083115907411264e-06,249414.0,447.282,0.0
Model 2 (Greedy),50,300,50,4.075529614574553e-06,3.704774256954765e-08,4.134777197530711e-06,245382.0,1389.982,0.0
Model 2 (Greedy),50,500,50,4.110241504057822e-06,1.9296810685628473e-08,4.134777197530711e-06,243298.0,2290.19,0.0
Model 2 (Greedy),50,1000,50,4.125206728843684e-06,1.5947325599028816e-08,4.136829781864966e-06,242414.0,4585.554,0.0
