population,max_iter,seed,slot_interval,move_frac,W_HEAVY,W_SOFT,MAX_MENIT_DOSEN,final_fitness,final_penalty,initial_penalty,reduction_pct,execution_time,is_feasible,H1_room_conflict,H2_lecturer_conflict,H4_lecturer_overload,H5_room_type_mismatch,H6_lunch_break,H7_class_completeness,S1_floor_movement
30,100,0,10,1.0,1000,10,2400,2.71871372216377e-06,367820,391840,6.13,345.87,False,18,124,86,0,135,0,482
30,100,1,10,1.0,1000,10,2400,2.7338015424108303e-06,365790,377910,3.21,349.24,False,22,111,86,0,142,0,479
30,100,42,10,1.0,1000,10,2400,2.7035722299874827e-06,369880,369880,0.0,339.21,False,0,128,86,0,151,0,488
30,100,123,10,1.0,1000,10,2400,2.704010859307611e-06,369820,374950,1.37,327.83,False,28,122,86,0,129,0,482
30,100,2024,10,1.0,1000,10,2400,2.7317851396351974e-06,366060,380960,3.91,342.81,False,22,116,86,0,137,0,506
30,100,0,50,1.0,1000,10,2400,3.971074691943881e-06,251820,272700,7.66,263.39,False,4,26,86,0,131,0,482
30,100,1,50,1.0,1000,10,2400,4.035007727039797e-06,247830,273890,9.51,262.49,False,8,25,86,0,124,0,483
30,100,42,50,1.0,1000,10,2400,4.0165320459009285e-06,248970,277790,10.37,265.02,False,2,26,86,0,130,0,497
30,100,123,50,1.0,1000,10,2400,3.936682400273993e-06,254020,287770,11.73,265.93,False,3,26,86,0,134,0,502
30,100,2024,50,1.0,1000,10,2400,4.020084341369482e-06,248750,273950,9.2,262.31,False,3,26,86,0,129,0,475
30,300,0,10,1.0,1000,10,2400,2.7920404510820555e-06,358160,391840,8.6,1057.98,False,19,112,86,0,136,0,516
30,300,1,10,1.0,1000,10,2400,2.7636448053150415e-06,361840,377910,4.25,1063.45,False,16,110,86,0,145,0,484
30,300,42,10,1.0,1000,10,2400,2.8029969643542877e-06,356760,369880,3.55,1069.3,False,23,119,86,0,124,0,476
30,300,123,10,1.0,1000,10,2400,2.7561800447052405e-06,362820,374950,3.24,1089.68,False,13,125,86,0,134,0,482
30,300,2024,10,1.0,1000,10,2400,2.890749889428817e-06,345930,380960,9.2,1124.59,False,20,115,86,0,120,0,493
30,300,0,50,1.0,1000,10,2400,4.070981635801841e-06,245640,272700,9.92,900.66,False,5,26,86,0,124,0,464
30,300,1,50,1.0,1000,10,2400,4.035007727039797e-06,247830,273890,9.51,841.1,False,8,25,86,0,124,0,483
