iterasi,fitness,penalty,heavy_total,soft_total,feasible,execution_time_s
1,0.00000269,371800,367,480,False,3.34
2,0.00000269,371800,367,480,False,6.59
3,0.00000269,371800,367,480,False,9.88
4,0.00000269,371800,367,480,False,13.13
5,0.00000269,371800,367,480,False,16.38
6,0.00000269,371800,367,480,False,19.64
7,0.00000269,371800,367,480,False,22.89
8,0.00000269,371800,367,480,False,26.15
9,0.00000269,371800,367,480,False,29.44
10,0.00000269,371800,367,480,False,32.66
11,0.00000269,371800,367,480,False,35.95
12,0.00000269,371800,367,480,False,39.17
13,0.00000269,371800,367,480,False,42.43
14,0.00000269,371800,367,480,False,45.69
15,0.00000269,371800,367,480,False,48.92
16,0.00000269,371800,367,480,False,52.18
17,0.00000269,371800,367,480,False,55.46
18,0.00000269,371800,367,480,False,58.71
19,0.00000269,371800,367,480,False,62.07
20,0.00000269,371800,367,480,False,65.42
21,0.00000269,371800,367,480,False,68.76
22,0.00000269,371800,367,480,False,72.05
23,0.00000269,371800,367,480,False,75.35
24,0.00000269,371800,367,480,False,78.66
25,0.00000269,371800,367,480,False,81.9
26,0.00000269,371800,367,480,False,85.4
27,0.00000270,370830,366,483,False,88.68
28,0.00000270,370830,366,483,False,91.95
29,0.00000270,370830,366,483,False,95.2
30,0.00000270,370830,366,483,False,98.44
31,0.00000270,370830,366,483,False,101.75
32,0.00000270,370830,366,483,False,105.02
33,0.00000270,370830,366,483,False,108.27
34,0.00000270,370830,366,483,False,111.53
35,0.00000270,370830,366,483,False,114.78
36,0.00000270,370830,366,483,False,117.99
37,0.00000270,370830,366,483,False,121.26
38,0.00000270,370830,366,483,False,124.49
39,0.00000270,370830,366,483,False,127.73
40,0.00000270,370830,366,483,False,131.14
41,0.00000270,370830,366,483,False,134.46
42,0.00000270,370830,366,483,False,137.69
43,0.00000270,370830,366,483,False,141.0
44,0.00000270,370830,366,483,False,144.21
45,0.00000270,370830,366,483,False,147.46
46,0.00000270,370830,366,483,False,150.73
47,0.00000270,370830,366,483,False,153.96
48,0.00000270,370830,366,483,False,157.22
49,0.00000270,370830,366,483,False,160.49
50,0.00000270,370830,366,483,False,163.72
51,0.00000270,370830,366,483,False,166.94
52,0.00000270,370830,366,483,False,170.2
53,0.00000270,370830,366,483,False,173.44
54,0.00000270,370830,366,483,False,176.66
55,0.00000270,370830,366,483,False,179.91
56,0.00000270,370830,366,483,False,183.19
57,0.00000270,370830,366,483,False,186.43
58,0.00000270,370830,366,483,False,189.71
59,0.00000270,370830,366,483,False,192.93
60,0.00000270,370830,366,483,False,196.16
61,0.00000270,370830,366,483,False,199.43
62,0.00000270,370830,366,483,False,202.67
63,0.00000270,369820,365,482,False,205.88
64,0.00000270,369820,365,482,False,209.15
65,0.00000270,369820,365,482,False,212.35
66,0.00000270,369820,365,482,False,215.58
67,0.00000270,369820,365,482,False,218.83
68,0.00000270,369820,365,482,False,222.15
69,0.00000270,369820,365,482,False,225.35
70,0.00000270,369820,365,482,False,228.57
71,0.00000270,369820,365,482,False,231.82
72,0.00000270,369820,365,482,False,235.05
73,0.00000270,369820,365,482,False,238.3
74,0.00000270,369820,365,482,False,241.54
75,0.00000270,369820,365,482,False,244.77
76,0.00000270,369820,365,482,False,248.0
77,0.00000270,369820,365,482,False,251.28
78,0.00000270,369820,365,482,False,254.52
79,0.00000270,369820,365,482,False,257.77
80,0.00000270,369820,365,482,False,260.96
81,0.00000270,369820,365,482,False,264.17
82,0.00000270,369820,365,482,False,267.39
83,0.00000270,369820,365,482,False,270.64
84,0.00000270,369820,365,482,False,274.15
85,0.00000270,369820,365,482,False,277.76
86,0.00000270,369820,365,482,False,281.35
87,0.00000270,369820,365,482,False,284.88
88,0.00000270,369820,365,482,False,288.13
89,0.00000270,369820,365,482,False,291.66
90,0.00000270,369820,365,482,False,295.07
91,0.00000270,369820,365,482,False,298.32
92,0.00000270,369820,365,482,False,301.64
93,0.00000270,369820,365,482,False,304.9
94,0.00000270,369820,365,482,False,308.18
95,0.00000270,369820,365,482,False,311.49
96,0.00000270,369820,365,482,False,314.74
97,0.00000270,369820,365,482,False,318.02
98,0.00000270,369820,365,482,False,321.28
99,0.00000270,369820,365,482,False,324.51
100,0.00000270,369820,365,482,False,327.83
