population,max_iter,seed,slot_interval,move_frac,W_HEAVY,W_SOFT,MAX_MENIT_DOSEN,final_fitness,final_penalty,execution_time,is_feasible,H1_room_conflict,H2_lecturer_conflict,H4_lecturer_overload,H5_room_type_mismatch,H6_lunch_break,H7_class_completeness,H8_lecturer_not_interested,S1_floor_movement
30,100,0,10,1.0,1000,10,2400,5.664406568445857e-06,176540,299.93,False,0,2,1,0,142,0,27,454
30,100,1,10,1.0,1000,10,2400,5.666653444475296e-06,176470,289.62,False,0,8,1,0,132,0,31,447
30,100,42,10,1.0,1000,10,2400,5.728656458200858e-06,174560,294.39,False,0,3,1,0,141,0,25,456
30,100,123,10,1.0,1000,10,2400,5.871266608345418e-06,170320,283.74,False,1,3,0,0,134,0,28,432
30,100,2024,10,1.0,1000,10,2400,5.9336264544801845e-06,168530,303.03,False,1,2,0,0,141,0,20,453
30,100,0,50,1.0,1000,10,2400,6.259741723056507e-06,159750,241.85,False,0,0,2,0,135,0,18,475
30,100,1,50,1.0,1000,10,2400,6.300760501792567e-06,158710,218.68,False,0,0,11,0,126,0,17,471
30,100,42,50,1.0,1000,10,2400,6.27073260969079e-06,159470,199.89,False,0,0,0,0,133,0,22,447
30,100,123,50,1.0,1000,10,2400,6.19382970684604e-06,161450,214.61,False,0,0,11,0,128,0,18,445
30,100,2024,50,1.0,1000,10,2400,6.260133591250837e-06,159740,246.51,False,0,0,0,0,132,0,23,474
