model,population,max_iter,slot_interval,mean_fitness,std_fitness,best_fitness,mean_penalty,mean_exec_time,feasible_rate
Model 1 (Full COA),30,100,50,159824.0,1002.8359786126542,158710,159824.0,269.774,0.0
Model 1 (Full COA),30,300,50,152916.0,3112.479718809425,147670,152916.0,711.05,0.0
Model 1 (Full COA),30,500,50,149054.0,3727.912284375803,146540,149054.0,1202.672,0.0
Model 1 (Full COA),30,1000,50,145618.0,1166.9704366435335,144540,145618.0,2177.892,0.0
Model 1 (Full COA),50,100,50,157946.0,5437.2722940827625,149530,157946.0,372.2,0.0
Model 1 (Full COA),50,300,50,150672.0,1722.8813075775142,149530,150672.0,1091.45,0.0
Model 1 (Full COA),50,500,50,146370.0,3893.7385633860936,141500,146370.0,1798.926,0.0
Model 1 (Full COA),50,1000,50,143072.0,1959.8265229351318,140860,143072.0,3815.846,0.0
Model 2 (Greedy),30,100,50,250278.0,2569.9552525287286,247830,250278.0,333.716,0.0
Model 2 (Greedy),30,300,50,246746.0,1640.3139943315718,244710,246746.0,946.732,0.0
Model 2 (Greedy),30,500,50,245918.0,887.5077464450638,244710,245918.0,1488.422,0.0
Model 2 (Greedy),30,1000,50,245440.0,810.7095657508921,244640,245440.0,2854.102,0.0
Model 2 (Greedy),50,100,50,249414.0,2884.5242242005847,244910,249414.0,466.592,0.0
Model 2 (Greedy),50,300,50,245382.0,2216.22877880421,241850,245382.0,1403.404,0.0
Model 2 (Greedy),50,500,50,243298.0,1143.1841496451907,241850,243298.0,2349.05,0.0
Model 2 (Greedy),50,1000,50,242414.0,939.7499667464746,241730,242414.0,4949.382,0.0
