Algorithm,Hari,Jam,Prodi,Kode_MK,Nama_MK,Jenis,Ruang,Dosen,Fitness,Heavy_Total,Light_Total,Feasible
COA,Mon,13,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F2.5,72,1.924679588965427e-06,519,566,False
COA,Mon,7,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F4.5,72,1.924679588965427e-06,519,566,False
COA,Fri,14,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-58,72,1.924679588965427e-06,519,566,False
COA,Thu,15,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.11,102,1.924679588965427e-06,519,566,False
COA,Thu,14,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F2.8,102,1.924679588965427e-06,519,566,False
COA,Fri,7,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-77,102,1.924679588965427e-06,519,566,False
COA,Tue,14,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.4,75,1.924679588965427e-06,519,566,False
COA,Wed,14,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F4.10,75,1.924679588965427e-06,519,566,False
COA,Fri,15,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-21,75,1.924679588965427e-06,519,566,False
COA,Wed,16,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.10,91,1.924679588965427e-06,519,566,False
COA,Tue,13,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F2.8,91,1.924679588965427e-06,519,566,False
COA,Mon,9,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-48,91,1.924679588965427e-06,519,566,False
COA,Mon,16,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.18,102,1.924679588965427e-06,519,566,False
COA,Thu,15,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.7b,102,1.924679588965427e-06,519,566,False
COA,Thu,9,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.9,102,1.924679588965427e-06,519,566,False
COA,Fri,17,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.4,102,1.924679588965427e-06,519,566,False
COA,Tue,17,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.4,102,1.924679588965427e-06,519,566,False
