Algorithm,Hari,Jam,Prodi,Kode_MK,Nama_MK,Jenis,Ruang,Dosen,Fitness,Heavy_Total,Light_Total,Feasible
COA,Wed,12,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.11,72,1.795444956146257e-06,555,1964,False
COA,Fri,10,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F4.14,72,1.795444956146257e-06,555,1964,False
COA,Tue,13,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-2,72,1.795444956146257e-06,555,1964,False
COA,Fri,9,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.4,102,1.795444956146257e-06,555,1964,False
COA,Mon,17,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.11,102,1.795444956146257e-06,555,1964,False
COA,Wed,13,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-85,102,1.795444956146257e-06,555,1964,False
COA,Mon,15,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F2.1,75,1.795444956146257e-06,555,1964,False
COA,Thu,12,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F2.1,75,1.795444956146257e-06,555,1964,False
COA,Thu,14,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-37,75,1.795444956146257e-06,555,1964,False
COA,Wed,14,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F2.4,91,1.795444956146257e-06,555,1964,False
COA,Wed,12,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.6,91,1.795444956146257e-06,555,1964,False
COA,Mon,16,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-2,91,1.795444956146257e-06,555,1964,False
COA,Mon,14,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.7a,102,1.795444956146257e-06,555,1964,False
COA,Wed,7,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.4,102,1.795444956146257e-06,555,1964,False
COA,Wed,7,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.8,102,1.795444956146257e-06,555,1964,False
COA,Fri,10,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.12,102,1.795444956146257e-06,555,1964,False
COA,Wed,15,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.16,102,1.795444956146257e-06,555,1964,False
COA,Wed,8,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.11,102,1.795444956146257e-06,555,1964,False
COA,Fri,9,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.13,75,1.795444956146257e-06,555,1964,False
COA,Wed,13,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.2,75,1.795444956146257e-06,555,1964,False
COA,Mon,9,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.4,75,1.795444956146257e-06,555,1964,False
COA,Thu,8,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.4,91,1.795444956146257e-06,555,1964,False
COA,Mon,14,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.10,91,1.795444956146257e-06,555,1964,False
COA,Tue,14,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.10,91,1.795444956146257e-06,555,1964,False
COA,Thu,10,Teknologi Informasi,COM60011,Arsitektur dan Organisasi Komputer,lecture,F3.16,103,1.795444956146257e-06,555,1964,False
COA,Mon,7,Teknologi Informasi,COM60011,Arsitektur dan Organisasi Komputer,lecture,F11.1,103,1.795444956146257e-06,555,1964,False
COA,Mon,10,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.5b,4,1.795444956146257e-06,555,1964,False
COA,Thu,10,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.8,4,1.795444956146257e-06,555,1964,False
COA,Wed,8,Pendidikan Teknologi Informasi,CIE61208,Basis Data,practicum,LAB-80,4,1.795444956146257e-06,555,1964,False
COA,Wed,13,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F4.13,60,1.795444956146257e-06,555,1964,False
COA,Mon,16,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.17,60,1.795444956146257e-06,555,1964,False
COA,Fri,10,Pendidikan Teknologi Informasi,CIE61208,Basis Data,practicum,LAB-48,60,1.795444956146257e-06,555,1964,False
COA,Wed,9,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F2.2,75,1.795444956146257e-06,555,1964,False
COA,Wed,14,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.5b,75,1.795444956146257e-06,555,1964,False
