Algorithm,Hari,Jam_Mulai,Jam_Selesai,Prodi,Kode_MK,Nama_MK,Jenis,Ruang,Dosen,SKS,Fitness,Heavy_Total,Light_Total,Feasible
COA,Wed,14:05,14:55,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F4.13,72,3,6.279170672254292e-07,1592,566,False
COA,Wed,13:40,14:30,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.5a,72,3,6.279170672254292e-07,1592,566,False
COA,Fri,13:00,13:50,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-41,72,3,6.279170672254292e-07,1592,566,False
COA,Fri,13:30,14:20,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F4.13,102,3,6.279170672254292e-07,1592,566,False
COA,Wed,14:00,14:50,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.13,102,3,6.279170672254292e-07,1592,566,False
COA,Fri,15:45,16:35,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-85,102,3,6.279170672254292e-07,1592,566,False
COA,Thu,08:00,08:50,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.5b,75,3,6.279170672254292e-07,1592,566,False
COA,Wed,08:55,09:45,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F4.4,75,3,6.279170672254292e-07,1592,566,False
COA,Wed,15:25,16:15,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-71,75,3,6.279170672254292e-07,1592,566,False
COA,Mon,09:00,09:50,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.4,91,3,6.279170672254292e-07,1592,566,False
COA,Mon,12:55,13:45,Sistem Informasi,CSD60706,Administrasi Basis Data,lecture,F3.7b,91,3,6.279170672254292e-07,1592,566,False
COA,Mon,14:25,15:15,Sistem Informasi,CSD60706,Administrasi Basis Data,practicum,LAB-99,91,3,6.279170672254292e-07,1592,566,False
COA,Thu,07:50,08:40,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.13,102,3,6.279170672254292e-07,1592,566,False
COA,Mon,12:15,13:05,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.17,102,3,6.279170672254292e-07,1592,566,False
COA,Thu,14:45,15:35,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.14,102,3,6.279170672254292e-07,1592,566,False
COA,Wed,13:10,14:00,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.15,102,3,6.279170672254292e-07,1592,566,False
COA,Tue,08:30,09:20,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F11.1,102,3,6.279170672254292e-07,1592,566,False
COA,Fri,14:00,14:50,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F11.1,102,3,6.279170672254292e-07,1592,566,False
COA,Thu,13:50,14:40,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.13,75,3,6.279170672254292e-07,1592,566,False
COA,Mon,13:45,14:35,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F4.13,75,3,6.279170672254292e-07,1592,566,False
COA,Mon,07:15,08:05,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.5b,75,3,6.279170672254292e-07,1592,566,False
COA,Fri,08:55,09:45,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.12,91,3,6.279170672254292e-07,1592,566,False
COA,Fri,13:05,13:55,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.2,91,3,6.279170672254292e-07,1592,566,False
COA,Wed,13:10,14:00,Teknologi Informasi,CSD60706,Administrasi Basis Data,lecture,F3.5a,91,3,6.279170672254292e-07,1592,566,False
COA,Mon,13:15,14:05,Teknologi Informasi,COM60011,Arsitektur dan Organisasi Komputer,lecture,F2.9,103,2,6.279170672254292e-07,1592,566,False
COA,Wed,13:55,14:45,Teknologi Informasi,COM60011,Arsitektur dan Organisasi Komputer,lecture,F4.9,103,2,6.279170672254292e-07,1592,566,False
COA,Thu,14:10,15:00,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.15,4,3,6.279170672254292e-07,1592,566,False
COA,Tue,13:20,14:10,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F4.14,4,3,6.279170672254292e-07,1592,566,False
