Algorithm,Hari,Jam,Prodi,Kode_MK,Nama_MK,Jenis,Ruang,Dosen,Fitness,Heavy_Total,Light_Total,Feasible
COA,Fri,13,Pendidikan Teknologi Informasi,CSD60716,Analisis Data Penelitian Kualitatif,lecture,F4.13,12,3.995844321905218e-06,250,259,False
COA,Mon,14,Pendidikan Teknologi Informasi,CSD60716,Analisis Data Penelitian Kualitatif,lecture,F4.9,12,3.995844321905218e-06,250,259,False
COA,Tue,7,Pendidikan Teknologi Informasi,CSD60716,Analisis Data Penelitian Kualitatif,lecture,F4.12,12,3.995844321905218e-06,250,259,False
COA,Fri,13,Pendidikan Teknologi Informasi,CSD60716,Analisis Data Penelitian Kualitatif,lecture,F3.11,12,3.995844321905218e-06,250,259,False
COA,Mon,15,Pendidikan Teknologi Informasi,CSD60716,Analisis Data Penelitian Kualitatif,lecture,F3.18,12,3.995844321905218e-06,250,259,False
COA,Mon,8,Pendidikan Teknologi Informasi,CSD60716,Analisis Data Penelitian Kualitatif,lecture,F2.1,12,3.995844321905218e-06,250,259,False
COA,Mon,16,Pendidikan Teknologi Informasi,CSD60716,Analisis Data Penelitian Kualitatif,lecture,F3.7b,100,3.995844321905218e-06,250,259,False
COA,Wed,15,Pendidikan Teknologi Informasi,CSD60716,Analisis Data Penelitian Kualitatif,lecture,F3.7a,100,3.995844321905218e-06,250,259,False
COA,Mon,8,Pendidikan Teknologi Informasi,CSD60716,Analisis Data Penelitian Kualitatif,lecture,F3.1,100,3.995844321905218e-06,250,259,False
COA,Fri,14,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F11.1,11,3.995844321905218e-06,250,259,False
COA,Mon,10,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F11.1,11,3.995844321905218e-06,250,259,False
COA,Wed,9,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F3.11,11,3.995844321905218e-06,250,259,False
COA,Fri,16,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F3.1,16,3.995844321905218e-06,250,259,False
COA,Thu,12,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F3.3,16,3.995844321905218e-06,250,259,False
COA,Tue,9,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F4.14,16,3.995844321905218e-06,250,259,False
COA,Wed,13,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F3.11,63,3.995844321905218e-06,250,259,False
COA,Mon,14,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F11.1,63,3.995844321905218e-06,250,259,False
COA,Wed,7,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F4.7,63,3.995844321905218e-06,250,259,False
COA,Mon,9,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F3.2,63,3.995844321905218e-06,250,259,False
COA,Tue,8,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F3.16,63,3.995844321905218e-06,250,259,False
COA,Wed,10,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F2.9,63,3.995844321905218e-06,250,259,False
COA,Tue,13,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F4.2,63,3.995844321905218e-06,250,259,False
COA,Wed,8,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F11.1,63,3.995844321905218e-06,250,259,False
COA,Wed,9,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F4.2,63,3.995844321905218e-06,250,259,False
COA,Fri,13,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F3.1,100,3.995844321905218e-06,250,259,False
COA,Wed,14,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F4.2,100,3.995844321905218e-06,250,259,False
COA,Wed,13,Pendidikan Teknologi Informasi,CSD60715,Analisis Data Penelitian Kuantitatif,lecture,F3.12,100,3.995844321905218e-06,250,259,False
COA,Thu,10,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F2.1,4,3.995844321905218e-06,250,259,False
COA,Mon,10,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.8,4,3.995844321905218e-06,250,259,False
COA,Wed,12,Pendidikan Teknologi Informasi,CIE61208,Basis Data,practicum,LAB-105,4,3.995844321905218e-06,250,259,False
COA,Fri,13,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.7b,60,3.995844321905218e-06,250,259,False
COA,Tue,7,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.9,60,3.995844321905218e-06,250,259,False
COA,Fri,17,Pendidikan Teknologi Informasi,CIE61208,Basis Data,practicum,LAB-34,60,3.995844321905218e-06,250,259,False
COA,Tue,13,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.13,75,3.995844321905218e-06,250,259,False
COA,Tue,8,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F4.2,75,3.995844321905218e-06,250,259,False
COA,Tue,10,Pendidikan Teknologi Informasi,CIE61208,Basis Data,practicum,LAB-74,75,3.995844321905218e-06,250,259,False
COA,Thu,17,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.5b,91,3.995844321905218e-06,250,259,False
COA,Fri,10,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.12,91,3.995844321905218e-06,250,259,False
COA,Tue,10,Pendidikan Teknologi Informasi,CIE61208,Basis Data,practicum,LAB-92,91,3.995844321905218e-06,250,259,False
COA,Thu,7,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F3.7a,102,3.995844321905218e-06,250,259,False
COA,Tue,8,Pendidikan Teknologi Informasi,CIE61208,Basis Data,lecture,F4.14,102,3.995844321905218e-06,250,259,False
COA,Thu,9,Pendidikan Teknologi Informasi,CIE61208,Basis Data,practicum,LAB-88,102,3.995844321905218e-06,250,259,False
